ID,Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
80,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20742,"Meat and edible offal; of ducks, not cut in pieces, frozen",8,Weight in kilograms,5295872,nan,,,5295872.0,,13571988.0,,,0
81,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20743,"Meat and edible offal; of ducks, fatty livers (foie gras), fresh or chilled",8,Weight in kilograms,66143,nan,,,66143.0,,695332.0,,,0
82,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20744,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, fresh or chilled",8,Weight in kilograms,2065053,nan,,,2065053.0,,13981627.0,,,0
83,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20745,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, frozen",8,Weight in kilograms,3741753,nan,,,3741753.0,,10626226.0,,,0
84,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20751,"Meat and edible offal; of geese, not cut in pieces, fresh or chilled",8,Weight in kilograms,11826,nan,,,11826.0,,59594.0,,,0
85,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20752,"Meat and edible offal; of geese, not cut in pieces, frozen",8,Weight in kilograms,318703,nan,,,318703.0,,1386254.0,,,0
86,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20753,"Meat and edible offal; of geese, fatty livers (foie gras), fresh or chilled",8,Weight in kilograms,176,nan,,,176.0,,1939.0,,,0
87,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20754,"Meat and edible offal; of geese, cuts and offal, excluding fatty livers, fresh or chilled",8,Weight in kilograms,24274,nan,,,24274.0,,176512.0,,,0
88,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20755,"Meat and edible offal; of geese, cuts and offal, excluding fatty livers, frozen",8,Weight in kilograms,129539,nan,,,129539.0,,638079.0,,,0
89,H5,2018,2018,2018,6,1,1,Import,826,United Kingdom,GBR,0,World,WLD,nan,,,nan,,nan,,20760,"Meat and edible offal; of guinea fowls, fresh, chilled or frozen",8,Weight in kilograms,984064,nan,,,984064.0,,5417037.0,,,0
